'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Aparecida do Taboado - MS', '179.109.64.99', 1308.43, 13, 6, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Eldorado - MS', '131.221.124.17', 988.38, 10, 12, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Vila Rica - MT', '45.168.220.41', 2660.97, 27, 5, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Campo Novo do Parecis - MT', '45.7.13.1', 2527.3, 25, 24, 7
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Anapolis - GO', '177.75.48.129', 1778.17, 18, 4, 4
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Aparecida de Goiania - GO', '45.70.41.1', 1707.12, 17, 23, 9
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Brasilia - DF', '45.164.243.225', 1830.55, 18, 2, 4
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Uberlandia - MG', '179.96.34.65', 1415.01, 14, 13, 12
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Salvador - BA', '170.84.39.225', 2829.93, 28, 13, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Salvador - BA', '201.157.194.69', 2829.93, 28, 14, 18
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Aracaju - SE', '170.81.184.1', 3024.56, 30, 32, 12
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Sao Paulo - SP', '179.96.111.1', 846.24, 8, 7, 13
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Arapiraca - AL', '186.235.128.222', 3185.15, 32, 2, 4
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Craibas - AL', '179.127.79.254', 3218.13, 32, 24, 20
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Jaboatao dos Guararapes - PE', '201.76.105.1', 3494.24, 35, 852, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Camaragibe - PE', '168.195.180.33', 3513.52, 35, 21, 7
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Campina Grande - PB', '130.185.238.1', 3519.6, 35, 26, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Campina Grande - PB', '45.179.88.1', 3519.6, 35, 7, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Caico - RN', '201.158.24.5', 3573.72, 36, 583, 7
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Pedra Lavrada - PB', '177.8.177.1', 3500.08, 35, 17, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Frecheirinha - CE', '132.255.80.201', 3772.57, 38, 46, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Fortaleza - CE', '200.25.36.66', 3913.99, 39, 15, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Teresina - PI', '168.90.89.225', 3480.59, 35, 6, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Novo Oriente do Piaui - PI', '177.66.116.1', 3396.52, 34, 27, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Imperatriz - MA', '186.193.182.121', 3111.21, 31, 22, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Sao Luis - MA', '200.108.164.28', 3732.81, 37, 23, 6
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Palmas - TO', '179.124.132.77', 2637.45, 26, 8, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Santa Fe do Araguaia - TO', '138.255.40.25', 2931.04, 29, 24, 8
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Canaa Dos Carajas - PA', '132.255.230.25', 3126.97, 31, 12, 5
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Redencao - PA', '177.36.241.33', 2899.73, 29, 1, 4
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Macapa - AP', '186.216.165.254', 4202.83, 42, 32, 11
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Boa Vista - RR', '45.160.184.1', 5257.15, 53, 410, 17
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Sao Paulo - SP', '179.96.123.81', 846.24, 8, 8, 13
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Manaus - AM', '45.236.220.201', 4474.78, 45, 137, 16
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Ouro Preto do Oeste - RO', '191.37.216.1', 3254.61, 33, 24, 7
'SC', 'Sao Ludgero - SC', '177.126.23.190', 'Cacoal - RO', '177.22.96.225', 3108.37, 31, 24, 7
'SC', 'Florianopolis - SC', '187.49.226.62', 'Pelotas - RS', '177.72.192.17', 713.18, 7, 13, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Pelotas - RS', '187.86.130.145', 713.18, 7, 292, 7
'SC', 'Florianopolis - SC', '187.49.226.62', 'Sao Ludgero - SC', '177.126.23.190', 179.43, 2, 2, 13
'SC', 'Florianopolis - SC', '187.49.226.62', 'Ponta Grossa - PR', '179.189.16.1', 419.34, 4, 677, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Curitiba - PR', '200.192.248.61', 305.87, 3, 15, 15
'SC', 'Florianopolis - SC', '187.49.226.62', 'Mococa - SP', '187.49.218.17', 933.79, 9, 11, 21
'SC', 'Florianopolis - SC', '187.49.226.62', 'Passo da Areia - RS', '168.196.188.1', 455.58, 5, 6, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Uberlandia - MG', '179.96.53.1', 1262.89, 13, 7, 13
'SC', 'Florianopolis - SC', '187.49.226.62', 'Rio de Janeiro - RJ', '200.218.239.30', 1144.14, 11, 6, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Uberaba - MG', '201.62.48.1', 1154.41, 12, 5, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Ipanema - MG', '179.107.112.1', 1537.93, 15, 43, 255
'SC', 'Florianopolis - SC', '187.49.226.62', 'Serra - ES', '201.71.200.5', 1670.36, 17, 13, 6
